,Chin-11,Paletwa,ကရင်-11,ကြာအင်းဆိပ်ကြီး,Kyaukkyi,Kyaukkyi,ကော့ကရိတ်မဲဆန္ဒနယ်,ကော့ကရိတ်မြို့နယ်
,Chin-12,Paletwa,ကရင်-12,ကြာအင်းဆိပ်ကြီး,Kyauktaga,Kyauktaga,ဖာပွန်မဲဆန္ဒနယ်,ဖာပွန်မြို့နယ်
,Chin-2,Hakha,ကရင်-2,ဘားအံ,Gyobingauk,Gyobingauk,ဘားအံမဲဆန္ဒနယ်,ဘားအံမြို့နယ်
,Chin-3,Htantlang,ကရင်-3,လှိုင်းဘွဲ့,Kawa,Kawa,မြဝတီမဲဆန္ဒနယ်,မြဝတီမြို့နယ်
,Chin-4,Falam,ကရင်-4,လှိုင်းဘွဲ့,Zigon,Zigon,လှိုင်းဘွဲ့မဲဆန္ဒနယ်,လှိုင်းဘွဲ့မြို့နယ်
,Chin-5,Tiddim,ကရင်-5,ဖာပွန်,Nyaunglebin,Nyaunglebin,သံတောင်ကြီးမဲဆန္ဒနယ်,သံတောင်ကြီးမြို့နယ်
,Chin-6,Tiddim,ကရင်-6,ဖာပွန်,Taungoo,Taungoo,ကန်ပက်လက်မဲဆန္ဒနယ်,ကန်ပက်လက်မြို့နယ်
,Chin-7,Ton Zang,ကရင်-7,သံတောင်ကြီး,Htantabin,Htantabin,တွန်းဇံမဲဆန္ဒနယ်,တွန်းဇံမြို့နယ်
,Chin-8,Mindat,ကရင်-8,မြဝတီ,Daik-U,Daik-U,တီးတိန်မဲဆန္ဒနယ်,တီးတိန်မြို့နယ်
,Chin-9,Kanpetlet,ကရင်-9,ကော့ကရိတ်,Nattalin,Nattalin,ထန်တလန်မဲဆန္ဒနယ်,ထန်တလန်မြို့နယ်
,Kachin-1,"Kawnglanghpu, Machanbaw, Nogmung, Putao, Sumprabum",ချင်း-1,ဟားခါး,Padaung,Padaung,ပလက်ဝမဲဆန္ဒနယ်,ပလက်ဝမြို့နယ်
,Kachin-10,Bhamo,ချင်း-10,မတူပီ,Pyay,Pyay,ဖလမ်းမဲဆန္ဒနယ်,ဖလမ်းမြို့နယ်
,Kachin-11,Momauk,ချင်း-11,ပလက်ဝ,Paukkhaung,Paukkhaung,မင်းတပ်မဲဆန္ဒနယ်,မင်းတပ်မြို့နယ်
,Kachin-12,"Mansi, Shwegu",ချင်း-12,ပလက်ဝ,Paungde,Paungde,မတူပီမဲဆန္ဒနယ်,မတူပီမြို့နယ်
,Kachin-2,Myitkyina,ချင်း-2,ဟားခါး,Bago,Bago,ဟားခါးမဲဆန္ဒနယ်,ဟားခါးမြို့နယ်
,Kachin-3,Waingmaw,ချင်း-3,ထန်တလန်,Phyu,Phyu,ကနီမဲဆန္ဒနယ်,ကနီမြို့နယ်
,Kachin-4,Tanai,ချင်း-4,ဖလမ်း,Minhla,Minhla,ကန့်ဘလူမဲဆန္ဒနယ်,ကန့်ဘလူမြို့နယ်
,Kachin-5,"Chipwi, Hsawlaw, Injangyang",ချင်း-5,တီးတိန်,Monyo,Monyo,ကျွန်းလှမဲဆန္ဒနယ်,ကျွန်းလှမြို့နယ်
,Kachin-6,Mohnyin,ချင်း-6,တီးတိန်,Shwegyin,Shwegyin,ကလေးမဲဆန္ဒနယ်,ကလေးမြို့နယ်
,Kachin-7,Mohnyin,ချင်း-7,တွန်းဇံ,Shwedaung,Shwedaung,ကလေးဝမဲဆန္ဒနယ်,ကလေးဝမြို့နယ်
,Kachin-8,Mogaung,ချင်း-8,မင်းတပ်,Yedashe,Yedashe,ကသာမဲဆန္ဒနယ်,ကသာမြို့နယ်
