popit_id,township_en,township_mm,state,constituency_pyithu,constituency_amyotha
,Mabein,မဘိမ်းမဲဆန္ဒနယ်,Shan,Mabein,Shan-4
,Machanbaw,မချမ်းဘောမဲဆန္ဒနယ်,Kachin,Machanbaw,Kachin-1
,Madaya,မတ္တရာမဲဆန္ဒနယ်,Mandalay,Madaya,Mandalay-3
,Magway,မကွေးမြို့နယ်,Magway,Magway,Magway-1
,Mahaaungmyay,မဟာအောင်မြေမဲဆန္ဒနယ်,Mandalay,Mahaaungmyay,Mandalay-2
,Mahlaing,မလှိုင်မဲဆန္ဒနယ်,Mandalay,Mahlaing,Mandalay-11
,Man Si,မံစီမဲဆန္ဒနယ်,Kachin,Mansi,Kachin-12
,Man Tun,မန်တုံမဲဆန္ဒနယ်,Shan,Manton,Shan-10
,Matman,မက်မန်းမဲဆန္ဒနယ်,Shan,Matman,Shan-12
,Matupi,မတူပီမဲဆန္ဒနယ်,Chin,Matupi,Chin-10
,Maubin,မအူပင်မဲဆန္ဒနယ်,Ayeyawaddy,Maubin,Ayeyawaddy-8
,Maungdaw,မောင်တောမဲဆန္ဒနယ်,Rakhine,Maungdaw,"Rakhine-7, Rakhine-8"
,Mawkmai,မောက်မယ်မဲဆန္ဒနယ်,Shan,Mawkmai,Shan-2
,Mawlaik,မော်လိုက်မဲဆန္ဒနယ်,Sagaing,Mawlaik,Sagaing-10
,Mawlamyine,မော်လမြိုင်မဲဆန္ဒနယ်,Mon,Mawlamyine,Mon-1
,Mawlamyinegyun,မော်လမြိုင်ကျွန်းမဲဆန္ဒနယ်,Ayeyawaddy,Mawlamyinegyun,Ayeyawaddy-12
,Mayangone,မရမ်းကုန်းမဲဆန္ဒနယ်,Yangon,Mayangone,Yangon-5
,Meiktila,မိတ္ထီလာမဲဆန္ဒနယ်,Mandalay,Meiktila,Mandalay-11
,Mese,မယ်စဲမဲဆန္ဒနယ်,Kayah,Mese,Kayah-12
,Minbu,မင်းဘူးမြို့နယ်,Magway,Minbu,Magway-5
,Minbya,မင်းပြားမဲဆန္ဒနယ်,Rakhine,Minbya,Rakhine-6
,Mindat,မင်းတပ်မဲဆန္ဒနယ်,Chin,Mindat,Chin-8
,Mindon,မင်းတုန်းမြို့နယ်,Magway,Mindon,Magway-7
,Mingaladon,မင်္ဂလာဒုံမဲဆန္ဒနယ်,Yangon,Mingaladon,Yangon-10
,Mingalartaungnyunt,မင်္ဂလာတောင်ညွန့်မဲဆန္ဒနယ်,Yangon,Mingalartaungnyunt,Yangon-4
,Mingin,မင်းကင်းမဲဆန္ဒနယ်,Sagaing,Mingin,Sagaing-8
,Minhla,မင်းလှမြို့နယ်,Bago,Minhla,Bago-11
,Minhla,မင်းလှမဲဆန္ဒနယ်,Magway,Minhla,Magway-7
,Mogaung,မိုးကောင်းမဲဆန္ဒနယ်,Kachin,Mogaung,Kachin-8
,Mogoke,မိုးကုတ်မဲဆန္ဒနယ်,Mandalay,Mogoke,Mandalay-3
,Mohnyin,မိုးညှင်းမဲဆန္ဒနယ်,Kachin,Mohnyin,"Kachin-6, Kachin-7"
,Momauk,မိုးမောက်မဲဆန္ဒနယ်,Kachin,Momauk,Kachin-11
,Monghpyak,မိုင်းဖြတ်မဲဆန္ဒနယ်,Shan,Monghpyak,Shan-7
,Mongyawng,မိုင်းယန်းမဲဆန္ဒနယ်,Shan,Mongyawng,Shan-7
,Monghsat,မိုင်းဆတ်မဲဆန္ဒနယ်,Shan,Monghsat,Shan-7
,Monghsu,မိုင်းရှူးမဲဆန္ဒနယ်,Shan,Monghsu,Shan-2
,Mongkaing,မိုင်းကိုင်မဲဆန္ဒနယ်,Shan,Mongaung,Shan-2
,Mongkhet,မိုင်းခတ်မဲဆန္ဒနယ်,Shan,Mongkhet,Shan-6
,Mongla,မိုင်းလားမဲဆန္ဒနယ်,Shan,Mongla,Shan-6
,Mongmao,မိုင်းမောမဲဆန္ဒနယ်,Shan,Mongmao,Shan-12
,Mongmit,မိုးမိတ်မဲဆန္ဒနယ်,Shan,Mongmit,Shan-4
,Mongnai,မိုးနဲမဲဆန္ဒနယ်,Shan,Mongnai,Shan-2
,Mongpan,မိုင်းပန်မဲဆန္ဒနယ်,Shan,Mongpan,Shan-2
,Mongping,မိုင်းပျဉ်းမဲဆန္ဒနယ်,Shan,Mongping,Shan-7
,Mongton,မိုင်းတုံမဲဆန္ဒနယ်,Shan,Mongton,Shan-7
,Mongyai,မိုင်းရယ်မဲဆန္ဒနယ်,Shan,Mongyai,Shan-3
,Mongyawng,မိုင်းယောင်းမဲဆန္ဒနယ်,Shan,Mongyawng,Shan-7
,Monyo,မိုးညိုမဲဆန္ဒနယ်,Bago,Monyo,Bago-11
,Monywa,မုံရွာမဲဆန္ဒနယ်,Sagaing,Monywa,Sagaing-4
,Mrauk-U,မြောက်ဦးမဲဆန္ဒနယ်,Rakhine,Mrauk-U,Rakhine-4
,Mudon,မုဒုံမဲဆန္ဒနယ်,Mon,Mudon,Mon-6
,Munaung,မာန်အောင်မဲဆန္ဒနယ်,Rakhine,Munaung,Rakhine-10
,Muse,မူဆယ်မဲဆန္ဒနယ်,Shan,Muse,Shan-5
,Myaing,မြိုင်မြို့နယ်,Magway,Myaing,Magway-11
,Myanaung,မြန်အောင်မဲဆန္ဒနယ်,Ayeyawaddy,Myanaung,Ayeyawaddy-5
,Myaung,မြောင်မဲဆန္ဒနယ်,Sagaing,Myaung,Sagaing-1
,Myaungmya,မြောင်းမြမဲဆန္ဒနယ်,Ayeyawaddy,Myaungmya,Ayeyawaddy-6
,Myawaddy,မြဝတီမဲဆန္ဒနယ်,Kayin,Myawaddy,Kayin-8
,Myebon,မြေပုံမဲဆန္ဒနယ်,Rakhine,Myebon,Rakhine-6
,Myeik,မြိတ်မြို့မဲဆန္ဒနယ်,Tanintharyi,Myeik,"Taninthayi-5, Taninthayi-6"
,Myingyan,မြင်းခြံမဲဆန္ဒနယ်,Mandalay,Myingyan,Mandalay-5
,Myinmu,မြင်းမူမဲဆန္ဒနယ်,Sagaing,Myinmu,Sagaing-1
,Myitkyina,မြစ်ကြီးနား,Kachin,Myitkyina,Kachin-2
,Myittha,မြစ်သားမဲဆန္ဒနယ်,Mandalay,Myittha,Mandalay-4
,Myothit,မြို့သစ်မြို့နယ်,Magway,Myothit,Magway-3
,Namhkan,နမ့်ခမ်းမဲဆန္ဒနယ်,Shan,Namhkan,Shan-5
,Namhsan,နမ့်ဆန်မဲဆန္ဒနယ်,Shan,Namhsan,Shan-10
,Namtu,နမ္မတူမဲဆန္ဒနယ်,Shan,Namtu,Shan-4
,Nansang,နမ့်စန်မဲဆန္ဒနယ်,Shan,Nansang,Shan-2
,Nanyun,နန်းယွန်းမဲဆန္ဒနယ်,Sagaing,Nanyun,Sagaing-12
,Narphan,နားဖန်မဲဆန္ဒနယ်,Shan,Narphan,Shan-12
