popit_id,township_en,township_mm,state,constituency_pyithu,constituency_amyotha
,Shwedaung,ရွှေတောင်မဲဆန္ဒနယ်,Bago,Shwedaung,Bago-9
,Shwegu,ရွှေကူမဲဆန္ဒနယ်,Kachin,Shwegu,Kachin-12
,Shwegyin,ရွှေကျင်မဲဆန္ဒနယ်,Bago,Shwegyin,Bago-3
,Shwepyithar,ရွှေပြည်သာမဲဆန္ဒနယ်,Yangon,Shwepyithar,Yangon-9
,Sidoktaya,စေတုတ္တရာမြို့နယ်,Magway,Sidoktaya,Magway-6
,Sinbaungwe,ဆင်ပေါင်ဝဲမြို့နယ်,Magway,Sinbaungwe,Magway-8
,Singu,စဥ့်ကူးမဲဆန္ဒနယ်,Mandalay,Singu,Mandalay-3
,Sintgaing,စဥ့်ကိုင်မဲဆန္ဒနယ်,Mandalay,Sintgaing,Mandalay-4
,Sittwe,စစ်တွေမဲဆန္ဒနယ်,Rakhine,Sittwe,Rakhine-1
,South Okkalapa,တောင်ဥက္ကလာပမဲဆန္ဒနယ်,Yangon,South Okkalapa,Yangon-3
,Sumprabum,ဆွမ်ပရာဘွမ်မဲဆန္ဒနယ်,Kachin,Sumprabum,Kachin-1
,Tabayin,ဒီပဲယင်းမဲဆန္ဒနယ်,Sagaing,Tabayin,Sagaing-2
,Tachileik,တာချီလိတ်မဲဆန္ဒနယ်,Shan,Tachileik,Shan-7
,Tada-U,တံတားဦးမဲဆန္ဒနယ်,Mandalay,Tada-U,Mandalay-4
,Taikkyi,တိုက်ကြီးမဲဆန္ဒနယ်,Yangon,Taikkyi,Yangon-12
,Tamu,တမူးမဲဆန္ဒနယ်,Sagaing,Tamu,Sagaing-9
,Tamwe,တာမွေမဲဆန္ဒနယ်,Yangon,Tamwe,Yangon-3
,Tanai,တနိုင်းမဲဆန္ဒနယ်,Kachin,Tanai,Kachin-4
,Tangyan,တန့်ယန်းမဲဆန္ဒနယ်,Shan,Tangyan,Shan-3
,Tanintharyi,တနင်္သာရီမဲဆန္ဒနယ်,Tanintharyi,Tanintharyi,Taninthayi-10
,Tatkon,တပ်ကုန်းမဲဆန္ဒနယ်,Union Territory,Tatkon,Mandalay-9
,Taungdwingyi,တောင်တွင်းကြီးမြို့နယ်,Magway,Taungdwingyi,Magway-4
,Taunggyi,တောင်ကြီးမဲဆန္ဒနယ်,Shan,Taunggyi,Shan-1
,Taungoo,တောင်ငူမဲဆန္ဒနယ်,Bago,Taungoo,Bago-5
,Taungtha,တောင်သာမဲဆန္ဒနယ်,Mandalay,Taungtha,Mandalay-6
,Taze,တန့်ဆည်မဲဆန္ဒနယ်,Sagaing,Taze,Sagaing-3
,Tedim,တီးတိန်မဲဆန္ဒနယ်,Chin,Tedim,"Chin-5, Chin-6"
,Thabaung,သာပေါင်းမဲဆန္ဒနယ်,Ayeyawaddy,Thabaung,Ayeyawaddy-2
,Thabeikkyin,သပိတ်ကျင်းမဲဆန္ဒနယ်,Mandalay,Thabeikkyin,Mandalay-3
,Thaketa,သာကေတမဲဆန္ဒနယ်,Yangon,Thaketa,Yangon-4
