Popit_id,name_en,name_mm,parent_org,classification,geographic_area,description,start_date,end_date,image,contact,links
,Amyotha Hluttaw Public Statistics Committee,အမျိုးသားလွှတ်တော် ပြည်သူ့ငွေစာရင်းကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,"Amyotha Hluttaw Government’s Guarantees, Pledges and Undertakings Vetting Committee",အမျိုးသားလွှတ်တော် အစိုးရ၏ အာမခံချက်များ၊ ကတိများနှင့် တာဝန်ခံချက်များ စိစစ်ရေးကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,"Amyotha Hluttaw Citizens Basic Rights, Democracy and Human Rights Committee",အမျိုးသားလွှတ်တော် နိုင်ငံသားများ၏ မူလအခွင့်အရေး၊ ဒီမိုကရေစီအရေးနှင့်လူအခွင့်အရေးကော်မတီ,အမျိုးသားလွှတ်တော် ,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် ဘဏ်များနှင့်ငွေကြေးဆိုင်ရာ ဖွံ့ဖြိုးတိုးတက်ရေးကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် စီးပွားရေးနှင့်ဘဏ္ဍာရေးဖွံ့ဖြိုးတိုးတက်ရေးကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် တိုင်းရင်းသားရေးရာနှင့် ပြည်တွင်းငြိမ်းချမ်းရေးဖော်ဆောင်မှုကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော်တောင်သူသမားနှင့် အလုပ်သမားရေးရာကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် ရင်းနှီးမြှပ်နှံမှုနှင့် စက်မှုလက်မှုဖွံ့ဖြိုးတိုးတက်ရေးကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် လွှတ်တော်အခွင့်အရေးကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် ပြည်သူ့ရေးရာစီမံခန့်ခွဲမှုကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် ပြည်သူ့ငွေစာရင်းကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် သယံဇာတနှင့် သဘာဝပတ်ဝန်းကျင်ထိန်းသိမ်းရေးဆိုင်ရာကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် ပို့ဆောင်ရေး၊ ဆက်သွယ်ရေးနှင့် ဆောက်လုပ်ရေးကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် ပညာရေးမြှင့်တင်မှုကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် နိုင်ငံသားများ၏ မူလအခွင့်အရေးဆိုင်ရာကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် စိုက်ပျိုးရေး၊ မွေးမြူရေးနှင့် ကျေးလက်လူမှုဘဝဖွံ့ဖြိုးတိုးတက်ရေးကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် လှျပ်စစ်စွမ်းအင်နှင့် ဖွံ့ဖြိုးတိုးတက်ရေးကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် ကျန်းမာရေးနှင့် အားကစားဖွံ့ဖြိုးတိုးတက်ရေးကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် နိုင်ငံတကာဆက်ဆံရေးကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် အစိုးရ၏ အာမခံချက်များ၊ ကတိများနှင့် တာဝန်ခံချက်များ စိစစ်ရေးကော်မတီ အမည်စာရင်း,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် ဥပဒေကြမ်းကော်မတီ အမည်စာရင်း,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် ပြည်သူ့ငွေစာရင်းကော်မတီ အမည်စာရင်း,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,ပြည်သူ့လွှတ်တော် လွှတ်တော်အခွင့်အရေးကော်မတီ,ပြည်သူ့လွှတ်တော်,ကော်မတီ,,,,,,,
,,,,,,,,,,,
,National League for Democracy,အမျိုးသားဒီမိုကရေစီအဖွဲ့ချုပ်ပါတီ,,,,,,,,,
